Animal_Id,Location,Fittness,Line,harvest,Weight_initial,Weight_final,Length_initial,Length_final,weight_init_std,country
10978565,Kunduchi,Adequate,Wami,Yes,50.65,136.3,11.7,16.2,0.20944606779731575,Africa
10977770,Kunduchi,Adequate,Wami,Yes,41.7,105.4,10.9,14.2,-0.1964564821018369,Africa
10978008,Kunduchi,Adequate,Wami,Yes,59.95,,12.4,,0.6312219017707373,Africa
10978431,Kunduchi,Adequate,Wami,Yes,38.34,126.3,10.6,15.5,-0.3488400092148149,Africa
10977968,Kunduchi,Adequate,Wami,Yes,32.52,64.4,10.4,12.5,-0.6127900472497947,Africa
10978117,Kunduchi,Adequate,Wami,Yes,40.16,120.1,11.0,15.2,-0.26629893202861876,Africa
10978045,Kunduchi,Adequate,Wami,Yes,39.15,,11.0,,-0.3121046946429365,Africa
10978344,Kunduchi,Adequate,Wami,Yes,33.81,77.2,10.5,13.0,-0.5542856573760622,Africa
10978284,Kunduchi,Adequate,Wami,Yes,57.23,156.6,12.2,16.0,0.5078638083935644,Africa
10978427,Kunduchi,Adequate,Wami,Yes,42.06,91.6,11.4,13.9,-0.1801296756254464,Africa
10977905,Kunduchi,Adequate,Wami,Yes,103.99,128.1,15.0,15.3,2.628534560715842,Africa
10978034,Kunduchi,Adequate,Wami,Yes,36.06,91.3,10.5,13.0,-0.45224311689862146,Africa
10977840,Kunduchi,Adequate,Wami,Yes,63.03,122.9,12.2,14.6,0.7709068016243005,Africa
10978629,Kunduchi,Adequate,Wami,Yes,86.04,133.5,13.0,15.8,1.814461848906927,Africa
10978414,Kunduchi,Adequate,Wami,Yes,58.91,126.2,12.0,15.0,0.5840555719500533,Africa
10978181,Kunduchi,Adequate,Wami,Yes,40.38,103.9,10.2,14.0,-0.2563214391819354,Africa
10978019,Kunduchi,Adequate,Wami,Yes,44.34,,11.0,,-0.07672656794163982,Africa
10978373,Kunduchi,Adequate,Wami,Yes,38.41,83.7,10.0,13.0,-0.3456653523999615,Africa
10978354,Kunduchi,Adequate,Wami,Yes,30.47,86.5,10.0,13.2,-0.7057621396847964,Africa
10978325,Kunduchi,Adequate,Wami,Yes,32.16,,10.0,,-0.6291168537261855,Africa
10977768,Kunduchi,Adequate,Wami,Yes,34.08,89.4,9.8,13.0,-0.5420405525187695,Africa
10977993,Kunduchi,Adequate,Wami,Yes,33.8,74.6,9.7,12.0,-0.5547391797781843,Africa
10978395,Kunduchi,Adequate,Wami,Yes,29.0,,9.7,,-0.7724299327967242,Africa
