Id	Sire	Dam
G2_7402413	G1_801698	G1_802693
G2_7402362	G1_801698	G1_802693
G2_7402364	G1_801698	G1_802693
G2_7091741	G1_801698	G1_802693
G2_7801036	G1_801698	G1_802693
G2_7801017	G1_801698	G1_802693
G2_7800889	G1_801698	G1_802693
G2_7402310	G1_801698	G1_802693
G2_7091778	G1_801698	G1_802693
G2_7801284	G1_801698	G1_802693
G2_7402429	G1_801698	G1_802693
G2_7402448	G1_801698	G1_802693
G2_7091757	G1_801698	G1_802693
G2_7801127	G1_801698	G1_802693
G2_431966	G1_823196	G1_822979
G2_426161	G1_823196	G1_822979
G2_424643	G1_823196	G1_822979
G2_431593	G1_823196	G1_822979
G2_430484	G1_823196	G1_822979
G2_424281	G1_823196	G1_822979
G2_425664	G1_823196	G1_822979
G2_425244	G1_823196	G1_822979
G2_425092	G1_823196	G1_822979
G2_430251	G1_823196	G1_822979
G2_425682	G1_823196	G1_822979
G2_424247	G1_823196	G1_822979
G2_425088	G1_823196	G1_822979
G2_430256	G1_823196	G1_822979
G2_430839	G1_823196	G1_822979
G2_431884	G1_823196	G1_822979
G2_430661	G1_823196	G1_822979
G2_430497	G1_823196	G1_822979
G2_431669	G1_823196	G1_822979
G2_430774	G1_823196	G1_822979
G2_425953	G1_823196	G1_822979
G2_424391	G1_823196	G1_822979
G2_431213	G1_823196	G1_822979
G2_426157	G1_823196	G1_822979
G2_430655	G1_823196	G1_822979
G2_425625	G1_823196	G1_822979
G2_430896	G1_823196	G1_822979
G2_430298	G1_823196	G1_822979
G2_430365	G1_823196	G1_822979
G2_426096	G1_823196	G1_822979
G2_425704	G1_823196	G1_299593
G2_431299	G1_823196	G1_299593
G2_430923	G1_823196	G1_299593
G2_430909	G1_823196	G1_299593
G2_425812	G1_823196	G1_299593
G2_430452	G1_823196	G1_299593
